gravityX,gravityY,gravityZ,accelX,accelY,accelZ,rotRateX,rotRatY,rotRateZ,attPitch,attRoll,attYaw
-0.109292828,0.074596696,-0.991206527,-0.000127606,0.010684401,0.000636458,0.143292785,0.044174422,-0.017253235,-0.074666056,-0.109818795,-0.000540647
-0.109292828,0.074596696,-0.991206527,-0.000127606,0.010684401,0.000636458,0.143292785,0.044174422,-0.017253235,-0.074666056,-0.109818795,-0.000540647
-0.107550919,0.067479327,-0.991906941,0.012992591,0.012125485,0.0254457,0.277062684,0.044688787,-0.036529623,-0.067530643,-0.108006488,-0.000843766
-0.107550919,0.067479327,-0.991906941,0.012992591,0.012125485,0.0254457,0.277062684,0.044688787,-0.036529623,-0.067530643,-0.108006488,-0.000843766
-0.105281308,0.047687873,-0.993298411,-0.013248608,0.067546278,0.016735852,0.840699792,0.09777794,-0.082638577,-0.047705965,-0.105597362,-0.000778617
-0.105281308,0.047687873,-0.993298411,-0.013248608,0.067546278,0.016735852,0.840699792,0.09777794,-0.082638577,-0.047705965,-0.105597362,-0.000778617
-0.099437788,-0.001984951,-0.995041788,-0.000552744,0.120469347,0.024323404,1.766210198,0.175431415,-0.14173077,0.001984952,-0.099602586,0.000487547
-0.099437788,-0.001984951,-0.995041788,-0.000552744,0.120469347,0.024323404,1.766210198,0.175431415,-0.14173077,0.001984952,-0.099602586,0.000487547
-0.091350749,-0.093862168,-0.991385341,-0.028613575,0.09853144,0.023672938,2.728081703,0.24759537,-0.207453743,0.094000537,-0.091885071,0.003854986
-0.091350749,-0.093862168,-0.991385341,-0.028613575,0.09853144,0.023672938,2.728081703,0.24759537,-0.207453743,0.094000537,-0.091885071,0.003854986
-0.076945804,-0.201772436,-0.976405263,-0.023060031,-0.060937762,-0.065754831,2.286965132,0.407721251,-0.125629514,0.203167246,-0.078642661,0.004483226
-0.076945804,-0.201772436,-0.976405263,-0.023060031,-0.060937762,-0.065754831,2.286965132,0.407721251,-0.125629514,0.203167246,-0.078642661,0.004483226
-0.059166875,-0.268217802,-0.961539686,-0.001013562,-0.037308425,0.014411271,1.137265801,0.422536105,-0.084928788,0.271542557,-0.061455988,0.005209273
-0.059166875,-0.268217802,-0.961539686,-0.001013562,-0.037308425,0.014411271,1.137265801,0.422536105,-0.084928788,0.271542557,-0.061455988,0.005209273
-0.042224705,-0.307182133,-0.950713515,-0.009014107,-0.010337234,0.012175798,1.211559296,0.409986645,-0.224124178,0.312230576,-0.04438453,0.000906558
-0.042224705,-0.307182133,-0.950713515,-0.009014107,-0.010337234,0.012175798,1.211559296,0.409986645,-0.224124178,0.312230576,-0.04438453,0.000906558
-0.023167759,-0.362800926,-0.931578636,0.026234927,-0.020041168,-0.050400913,1.512548089,0.39417243,-0.279746115,0.371271844,-0.024864229,-0.008377083
-0.023167759,-0.362800926,-0.931578636,0.026234927,-0.020041168,-0.050400913,1.512548089,0.39417243,-0.279746115,0.371271844,-0.024864229,-0.008377083
0.00256239,-0.411217064,-0.911533892,-0.058226373,-0.056250155,-0.077357948,1.235022306,0.77476871,-0.694462299,0.423788838,0.002811067,-0.026052806
0.00256239,-0.411217064,-0.911533892,-0.058226373,-0.056250155,-0.077357948,1.235022306,0.77476871,-0.694462299,0.423788838,0.002811067,-0.026052806
0.05217807,-0.467900842,-0.882239342,-0.018196803,-0.168114811,-0.131966829,1.960144997,1.044596791,-0.918438852,0.486914079,0.059073944,-0.066873311
0.05217807,-0.467900842,-0.882239342,-0.018196803,-0.168114811,-0.131966829,1.960144997,1.044596791,-0.918438852,0.486914079,0.059073944,-0.066873311
0.105240554,-0.534227014,-0.838764548,-0.037568003,-0.091137886,-0.100215912,1.988085866,0.969082654,-0.954612851,0.563593088,0.12481864,-0.11845503
0.105240554,-0.534227014,-0.838764548,-0.037568003,-0.091137886,-0.100215912,1.988085866,0.969082654,-0.954612851,0.563593088,0.12481864,-0.11845503
0.161554202,-0.599211216,-0.784121335,-0.104959682,-0.093505859,-0.043927848,2.575519085,0.798709691,-1.523011804,0.642515472,0.203188929,-0.191982103
0.161554202,-0.599211216,-0.784121335,-0.104959682,-0.093505859,-0.043927848,2.575519085,0.798709691,-1.523011804,0.642515472,0.203188929,-0.191982103
0.232946575,-0.665720582,-0.708909154,-0.028448761,-0.20068711,-0.036056161,2.744864702,0.790086448,-2.277375221,0.728459048,0.317483292,-0.323491053
0.232946575,-0.665720582,-0.708909154,-0.028448761,-0.20068711,-0.036056161,2.744864702,0.790086448,-2.277375221,0.728459048,0.317483292,-0.323491053
0.326161265,-0.726828694,-0.604432821,-0.048970938,-0.279730558,0.037964463,4.083819866,0.565199137,-2.93996954,0.813693208,0.49483547,-0.536680937
0.326161265,-0.726828694,-0.604432821,-0.048970938,-0.279730558,0.037964463,4.083819866,0.565199137,-2.93996954,0.813693208,0.49483547,-0.536680937
0.429700345,-0.766156137,-0.477872789,-0.009032011,-0.391525805,0.083019614,3.871268749,0.183370531,-3.49599719,0.872838399,0.7323696,-0.833152085
0.429700345,-0.766156137,-0.477872789,-0.009032011,-0.391525805,0.083019614,3.871268749,0.183370531,-3.49599719,0.872838399,0.7323696,-0.833152085
0.537126243,-0.763446987,-0.358669937,0.047695696,-0.159829319,0.124781251,4.026490688,-0.575114846,-3.624835014,0.868633352,0.982039104,-1.169279546
0.537126243,-0.763446987,-0.358669937,0.047695696,-0.159829319,0.124781251,4.026490688,-0.575114846,-3.624835014,0.868633352,0.982039104,-1.169279546
0.631342113,-0.720051587,-0.287980795,-0.054592192,-0.180840313,0.081115365,2.463686943,-1.22474277,-3.501329184,0.803876672,1.142847583,-1.432502381
0.631342113,-0.720051587,-0.287980795,-0.054592192,-0.180840313,0.081115365,2.463686943,-1.22474277,-3.501329184,0.803876672,1.142847583,-1.432502381
0.706632197,-0.655158222,-0.267280102,-0.187042117,0.049004972,-0.004221857,1.668927431,-1.59575665,-3.127638102,0.714392016,1.20918376,-1.611827114
0.706632197,-0.655158222,-0.267280102,-0.187042117,0.049004972,-0.004221857,1.668927431,-1.59575665,-3.127638102,0.714392016,1.20918376,-1.611827114
0.760353923,-0.582918406,-0.28647548,-0.185847819,0.087589741,-0.028422594,1.015343428,-1.889029503,-2.738265038,0.622315831,1.2104783,-1.723499292
0.760353923,-0.582918406,-0.28647548,-0.185847819,0.087589741,-0.028422594,1.015343428,-1.889029503,-2.738265038,0.622315831,1.2104783,-1.723499292
0.793637097,-0.516599417,-0.321349263,-0.378646731,0.070541263,0.006664753,1.151102185,-1.766539812,-2.372480869,0.542874613,1.186066892,-1.817241781
0.793637097,-0.516599417,-0.321349263,-0.378646731,0.070541263,0.006664753,1.151102185,-1.766539812,-2.372480869,0.542874613,1.186066892,-1.817241781
0.812458813,-0.454161197,-0.365579545,-0.245552182,0.122635365,-0.056511462,-0.598981023,-1.586722851,-1.696984529,0.471430494,1.147969951,-1.871868215
0.812458813,-0.454161197,-0.365579545,-0.245552182,0.122635365,-0.056511462,-0.598981023,-1.586722851,-1.696984529,0.471430494,1.147969951,-1.871868215
0.81317997,-0.398267806,-0.424406946,-0.351009846,0.224258363,-0.112338603,0.069830291,-1.355956078,-1.220946193,0.40962763,1.089774569,-1.876774189
0.81317997,-0.398267806,-0.424406946,-0.351009846,0.224258363,-0.112338603,0.069830291,-1.355956078,-1.220946193,0.40962763,1.089774569,-1.876774189
0.80823499,-0.380348951,-0.449545413,-0.186137497,0.137125552,0.048420131,0.662782073,-0.089815043,-0.200660601,0.390173579,1.063200674,-1.911727732
0.80823499,-0.380348951,-0.449545413,-0.186137497,0.137125552,0.048420131,0.662782073,-0.089815043,-0.200660601,0.390173579,1.063200674,-1.911727732
0.816960633,-0.375910729,-0.43734014,-0.128929973,0.115536392,-0.459421217,-0.535849452,0.06380523,-0.129313245,0.385379407,1.079289017,-1.913934234
0.816960633,-0.375910729,-0.43734014,-0.128929973,0.115536392,-0.459421217,-0.535849452,0.06380523,-0.129313245,0.385379407,1.079289017,-1.913934234
0.820087492,-0.352713645,-0.45061025,0.038155198,-0.058204055,0.123413861,-0.939012229,-0.000901383,-0.049574688,0.360469563,1.068363127,-1.879442353
0.821690559,-0.34814629,-0.451241463,0.005103767,0.037387311,0.022009552,0.301629543,0.147655636,-0.085410453,0.355592961,1.068596496,-1.873736834
0.826120913,-0.347600073,-0.443507016,-0.045087755,0.024878174,-0.046897411,-0.088973455,0.211730927,-0.0518061,0.35501035,1.078101366,-1.879290005
0.826120913,-0.347600073,-0.443507016,-0.045087755,0.024878174,-0.046897411,-0.088973455,0.211730927,-0.0518061,0.35501035,1.078101366,-1.879290005
0.829252601,-0.34585622,-0.439002961,-0.003084362,0.047624856,-0.031656861,-0.030301703,0.195902318,0.078928158,0.35315117,1.083909438,-1.87548712
0.829252601,-0.34585622,-0.439002961,-0.003084362,0.047624856,-0.031656861,-0.030301703,0.195902318,0.078928158,0.35315117,1.083909438,-1.87548712
0.833586633,-0.352344781,-0.42542544,-0.105608463,0.141912371,-0.096656382,0.217266247,0.571482062,0.207864672,0.360075369,1.098898741,-1.879470124
0.833586633,-0.352344781,-0.42542544,-0.105608463,0.141912371,-0.096656382,0.217266247,0.571482062,0.207864672,0.360075369,1.098898741,-1.879470124
