TimeInterval,Activity,Accel.x,Accel.y,Accel.z,RotRate.x,RotRate.y,RotRate.z,Gravity.x,Gravity.y,Gravity.z,Attitude.pitch,Attitude.roll,Attitude.yaw,AccumulatedRateGravity,PeakRate
0,0,-0.006798543,0.034716681,0.01263243,0.167599827,0.122839935,0.073798917,-0.07526318,0.153530896,-0.985273421,-0.154140548,-0.076240052,0.005435712,-0.048076287,-0.2063395
0,0,-0.006798543,0.034716681,0.01263243,0.167599827,0.122839935,0.073798917,-0.07526318,0.153530896,-0.985273421,-0.154140548,-0.076240052,0.005435712,-0.045278826,-0.2063395
0,0,-0.006798543,0.034716681,0.01263243,0.167599827,0.122839935,0.073798917,-0.07526318,0.153530896,-0.985273421,-0.154140548,-0.076240052,0.005435712,-0.042481366,-0.2063395
0,0,-0.006798543,0.034716681,0.01263243,0.167599827,0.122839935,0.073798917,-0.07526318,0.153530896,-0.985273421,-0.154140548,-0.076240052,0.005435712,-0.039683906,-0.2063395
0,0,-0.006798543,0.034716681,0.01263243,0.167599827,0.122839935,0.073798917,-0.07526318,0.153530896,-0.985273421,-0.154140548,-0.076240052,0.005435712,-0.036886445,-0.2063395
0,0,-0.000196159,0.011068806,0.006106555,0.150956556,0.152863905,0.091492958,-0.068865083,0.15444319,-0.985598743,-0.155063859,-0.069757948,0.009208506,-0.034298899,-0.2063395
0,0,-0.000196159,0.011068806,0.006106555,0.150956556,0.152863905,0.091492958,-0.068865083,0.15444319,-0.985598743,-0.155063859,-0.069757948,0.009208506,-0.031711353,-0.090283071
0,0,-0.000196159,0.011068806,0.006106555,0.150956556,0.152863905,0.091492958,-0.068865083,0.15444319,-0.985598743,-0.155063859,-0.069757948,0.009208506,-0.031985897,-0.090283071
0,0,-0.000196159,0.011068806,0.006106555,0.150956556,0.152863905,0.091492958,-0.068865083,0.15444319,-0.985598743,-0.155063859,-0.069757948,0.009208506,-0.032260441,-0.090283071
0,0,-0.000196159,0.011068806,0.006106555,0.150956556,0.152863905,0.091492958,-0.068865083,0.15444319,-0.985598743,-0.155063859,-0.069757948,0.009208506,-0.032534985,-0.090283071
0,0,-0.000196159,0.011068806,0.006106555,0.150956556,0.152863905,0.091492958,-0.068865083,0.15444319,-0.985598743,-0.155063859,-0.069757948,0.009208506,-0.032809529,-0.090283071
0,0,0.008250117,0.021583185,0.025329053,0.403136581,0.148866758,0.133507788,-0.063608959,0.152519479,-0.986251354,-0.153117075,-0.064406487,0.014296446,-0.034237034,-0.134610255
0,0,0.008250117,0.021583185,0.025329053,0.403136581,0.148866758,0.133507788,-0.063608959,0.152519479,-0.986251354,-0.153117075,-0.064406487,0.014296446,-0.03566454,-0.134610255
0,0,0.008250117,0.021583185,0.025329053,0.403136581,0.148866758,0.133507788,-0.063608959,0.152519479,-0.986251354,-0.153117075,-0.064406487,0.014296446,-0.041769753,-0.134610255
0,0,0.008250117,0.021583185,0.025329053,0.403136581,0.148866758,0.133507788,-0.063608959,0.152519479,-0.986251354,-0.153117075,-0.064406487,0.014296446,-0.047874967,-0.134610255
0,0,0.008250117,0.021583185,0.025329053,0.403136581,0.148866758,0.133507788,-0.063608959,0.152519479,-0.986251354,-0.153117075,-0.064406487,0.014296446,-0.053980181,-0.134610255
0,0,0.008250117,0.021583185,0.025329053,0.403136581,0.148866758,0.133507788,-0.063608959,0.152519479,-0.986251354,-0.153117075,-0.064406487,0.014296446,-0.060085395,-0.134610255
