gravityX,gravityY,gravityZ,accelX,accelY,accelZ,rotRateX,rotRatY,rotRateZ,attPitch,attRoll,attYaw
-0.053987663,-0.268260032,-0.961832583,0.007860336,0.031870842,0.010019839,0.130722135,0.057020761,-0.052849047,0.271586415,-0.056071164,0.006222469
-0.052937932,-0.271138996,-0.961083353,0.014470521,0.037236959,-0.006918967,0.156910852,0.032607429,-0.022330072,0.274576151,-0.055025917,0.005612884
-0.052937932,-0.271138996,-0.961083353,0.014470521,0.037236959,-0.006918967,0.156910852,0.032607429,-0.022330072,0.274576151,-0.055025917,0.005612884
-0.052937932,-0.271138996,-0.961083353,0.014470521,0.037236959,-0.006918967,0.156910852,0.032607429,-0.022330072,0.274576151,-0.055025917,0.005612884
-0.052937932,-0.271138996,-0.961083353,0.014470521,0.037236959,-0.006918967,0.156910852,0.032607429,-0.022330072,0.274576151,-0.055025917,0.005612884
-0.052937932,-0.271138996,-0.961083353,0.014470521,0.037236959,-0.006918967,0.156910852,0.032607429,-0.022330072,0.274576151,-0.055025917,0.005612884
-0.052937932,-0.271138996,-0.961083353,0.014470521,0.037236959,-0.006918967,0.156910852,0.032607429,-0.022330072,0.274576151,-0.055025917,0.005612884
-0.052937932,-0.271138996,-0.961083353,0.014470521,0.037236959,-0.006918967,0.156910852,0.032607429,-0.022330072,0.274576151,-0.055025917,0.005612884
-0.052937932,-0.271138996,-0.961083353,0.014470521,0.037236959,-0.006918967,0.156910852,0.032607429,-0.022330072,0.274576151,-0.055025917,0.005612884
-0.052937932,-0.271138996,-0.961083353,0.014470521,0.037236959,-0.006918967,0.156910852,0.032607429,-0.022330072,0.274576151,-0.055025917,0.005612884
-0.052937932,-0.271138996,-0.961083353,0.014470521,0.037236959,-0.006918967,0.156910852,0.032607429,-0.022330072,0.274576151,-0.055025917,0.005612884
-0.052937932,-0.271138996,-0.961083353,0.014470521,0.037236959,-0.006918967,0.156910852,0.032607429,-0.022330072,0.274576151,-0.055025917,0.005612884
-0.052937932,-0.271138996,-0.961083353,0.014470521,0.037236959,-0.006918967,0.156910852,0.032607429,-0.022330072,0.274576151,-0.055025917,0.005612884
-0.052355133,-0.273514271,-0.960442007,0.013185814,0.011154622,0.002907276,0.09515059,0.030860357,0.005150448,0.277044749,-0.054457599,0.005642305
-0.052355133,-0.273514271,-0.960442007,0.013185814,0.011154622,0.002907276,0.09515059,0.030860357,0.005150448,0.277044749,-0.054457599,0.005642305
-0.052355133,-0.273514271,-0.960442007,0.013185814,0.011154622,0.002907276,0.09515059,0.030860357,0.005150448,0.277044749,-0.054457599,0.005642305
