TimeInterval,Activity,Accel.x,Accel.y,Accel.z,RotRate.x,RotRate.y,RotRate.z,Gravity.x,Gravity.y,Gravity.z,Attitude.pitch,Attitude.roll,Attitude.yaw,AccumulatedRateGravity,PeakRate
1,1,0.054694518,0.022424854,0.037448466,0.596063375,-0.028816137,0.326485306,0.013283299,-0.124627963,-0.992114604,0.124952863,0.013388076,0.037873789,-0.077469133,-0.312401855
1,1,0.054694518,0.022424854,0.037448466,0.596063375,-0.028816137,0.326485306,0.013283299,-0.124627963,-0.992114604,0.124952863,0.013388076,0.037873789,-0.083430358,-0.312401855
1,1,0.054694518,0.022424854,0.037448466,0.596063375,-0.028816137,0.326485306,0.013283299,-0.124627963,-0.992114604,0.124952863,0.013388076,0.037873789,-0.089391583,-0.312401855
1,1,0.013324424,-0.026627943,-0.022561133,-0.07806237,0.06472788,0.501909435,0.011989824,-0.132383615,-0.99112606,0.132773379,0.012096583,0.054305351,-0.099243978,-0.506960386
1,1,0.013324424,-0.026627943,-0.022561133,-0.07806237,0.06472788,0.501909435,0.011989824,-0.132383615,-0.99112606,0.132773379,0.012096583,0.054305351,-0.109096374,-0.506960386
1,1,0.013324424,-0.026627943,-0.022561133,-0.07806237,0.06472788,0.501909435,0.011989824,-0.132383615,-0.99112606,0.132773379,0.012096583,0.054305351,-0.119001462,-0.506960386
1,1,0.013324424,-0.026627943,-0.022561133,-0.07806237,0.06472788,0.501909435,0.011989824,-0.132383615,-0.99112606,0.132773379,0.012096583,0.054305351,-0.12890655,-0.506960386
1,1,0.023595758,0.049595281,-0.00023973,0.262417108,-0.060124103,0.589984775,0.018625237,-0.12907806,-0.991459489,0.1294392,0.018783467,0.075637877,-0.140118385,-0.57229772
1,1,0.023595758,0.049595281,-0.00023973,0.262417108,-0.060124103,0.589984775,0.018625237,-0.12907806,-0.991459489,0.1294392,0.018783467,0.075637877,-0.15133022,-0.57229772
1,1,0.023595758,0.049595281,-0.00023973,0.262417108,-0.060124103,0.589984775,0.018625237,-0.12907806,-0.991459489,0.1294392,0.018783467,0.075637877,-0.162626205,-0.57229772
1,1,0.023595758,0.049595281,-0.00023973,0.262417108,-0.060124103,0.589984775,0.018625237,-0.12907806,-0.991459489,0.1294392,0.018783467,0.075637877,-0.17392219,-0.57229772
1,1,0.009690154,0.084317476,0.033990681,1.125844836,-0.135890499,0.516428053,0.014617031,-0.159527823,-0.987085223,0.160212328,0.014807194,0.097139338,-0.183204694,-0.57229772
1,1,0.009690154,0.084317476,0.033990681,1.125844836,-0.135890499,0.516428053,0.014617031,-0.159527823,-0.987085223,0.160212328,0.014807194,0.097139338,-0.192487198,-0.57229772
1,1,0.009690154,0.084317476,0.033990681,1.125844836,-0.135890499,0.516428053,0.014617031,-0.159527823,-0.987085223,0.160212328,0.014807194,0.097139338,-0.201573976,-0.57229772
1,1,0.009690154,0.084317476,0.033990681,1.125844836,-0.135890499,0.516428053,0.014617031,-0.159527823,-0.987085223,0.160212328,0.014807194,0.097139338,-0.210660754,-0.57229772
1,1,-0.047457125,-0.062561184,-0.010696352,1.24361515,-0.102790788,0.417549342,0.008470855,-0.209731653,-0.977722287,0.211300504,0.008663649,0.114819573,-0.217838145,-0.57229772
1,1,-0.047457125,-0.062561184,-0.010696352,1.24361515,-0.102790788,0.417549342,0.008470855,-0.209731653,-0.977722287,0.211300504,0.008663649,0.114819573,-0.225015536,-0.57229772
1,1,-0.047457125,-0.062561184,-0.010696352,1.24361515,-0.102790788,0.417549342,0.008470855,-0.209731653,-0.977722287,0.211300504,0.008663649,0.114819573,-0.232550576,-0.57229772
1,1,-0.047457125,-0.062561184,-0.010696352,1.24361515,-0.102790788,0.417549342,0.008470855,-0.209731653,-0.977722287,0.211300504,0.008663649,0.114819573,-0.240085617,-0.57229772
1,1,-0.009962877,-0.009126902,0.003912568,1.237220049,-0.113309614,0.259900272,0.002196091,-0.25562799,-0.966772735,0.258497209,0.002271565,0.128567089,-0.244489217,-0.57229772
1,1,-0.009962877,-0.009126902,0.003912568,1.237220049,-0.113309614,0.259900272,0.002196091,-0.25562799,-0.966772735,0.258497209,0.002271565,0.128567089,-0.248892818,-0.57229772
1,1,-0.009962877,-0.009126902,0.003912568,1.237220049,-0.113309614,0.259900272,0.002196091,-0.25562799,-0.966772735,0.258497209,0.002271565,0.128567089,-0.253801004,-0.57229772
1,1,-0.009962877,-0.009126902,0.003912568,1.237220049,-0.113309614,0.259900272,0.002196091,-0.25562799,-0.966772735,0.258497209,0.002271565,0.128567089,-0.258709191,-0.57229772
1,1,0.006386383,-0.10122627,0.054062963,0.928878248,-0.304451883,0.303278387,-0.010079069,-0.303940058,-0.952637851,0.308825645,-0.010579774,0.14076042,-0.263340563,-0.57229772
1,1,0.006386383,-0.10122627,0.054062963,0.928878248,-0.304451883,0.303278387,-0.010079069,-0.303940058,-0.952637851,0.308825645,-0.010579774,0.14076042,-0.267971934,-0.57229772
1,1,0.006386383,-0.10122627,0.054062963,0.928878248,-0.304451883,0.303278387,-0.010079069,-0.303940058,-0.952637851,0.308825645,-0.010579774,0.14076042,-0.271986568,-0.57229772
1,1,0.006386383,-0.10122627,0.054062963,0.928878248,-0.304451883,0.303278387,-0.010079069,-0.303940058,-0.952637851,0.308825645,-0.010579774,0.14076042,-0.276001201,-0.57229772
1,1,-0.002352644,-0.033398896,-0.012727261,0.262990087,-0.285410136,0.187128291,-0.023999343,-0.319689155,-0.947218478,0.325401422,-0.02533123,0.151215081,-0.277747412,-0.57229772
1,1,-0.002352644,-0.033398896,-0.012727261,0.262990087,-0.285410136,0.187128291,-0.023999343,-0.319689155,-0.947218478,0.325401422,-0.02533123,0.151215081,-0.279493623,-0.57229772
1,1,-0.002352644,-0.033398896,-0.012727261,0.262990087,-0.285410136,0.187128291,-0.023999343,-0.319689155,-0.947218478,0.325401422,-0.02533123,0.151215081,-0.2798277,-0.57229772
1,1,-0.002352644,-0.033398896,-0.012727261,0.262990087,-0.285410136,0.187128291,-0.023999343,-0.319689155,-0.947218478,0.325401422,-0.02533123,0.151215081,-0.280161777,-0.57229772
1,1,0.005658194,0.005379796,0.067144454,0.764151156,-0.291419625,0.125434294,-0.036770917,-0.341439068,-0.939184368,0.348447556,-0.039131984,0.158396219,-0.279577493,-0.57229772
1,1,0.005658194,0.005379796,0.067144454,0.764151156,-0.291419625,0.125434294,-0.036770917,-0.341439068,-0.939184368,0.348447556,-0.039131984,0.158396219,-0.278993209,-0.57229772
1,1,0.005658194,0.005379796,0.067144454,0.764151156,-0.291419625,0.125434294,-0.036770917,-0.341439068,-0.939184368,0.348447556,-0.039131984,0.158396219,-0.277799489,-0.57229772
1,1,0.005658194,0.005379796,0.067144454,0.764151156,-0.291419625,0.125434294,-0.036770917,-0.341439068,-0.939184368,0.348447556,-0.039131984,0.158396219,-0.276605769,-0.57229772
1,1,-0.082381755,-0.20731166,-0.020186722,-0.301935583,0.083340064,0.007076813,-0.042969257,-0.345071465,-0.937592328,0.352314938,-0.045797314,0.16332184,-0.27493239,-0.57229772
1,1,-0.082381755,-0.20731166,-0.020186722,-0.301935583,0.083340064,0.007076813,-0.042969257,-0.345071465,-0.937592328,0.352314938,-0.045797314,0.16332184,-0.273259011,-0.57229772
1,1,-0.082381755,-0.20731166,-0.020186722,-0.301935583,0.083340064,0.007076813,-0.042969257,-0.345071465,-0.937592328,0.352314938,-0.045797314,0.16332184,-0.270510349,-0.57229772
1,1,-0.082381755,-0.20731166,-0.020186722,-0.301935583,0.083340064,0.007076813,-0.042969257,-0.345071465,-0.937592328,0.352314938,-0.045797314,0.16332184,-0.267761686,-0.57229772
1,1,0.001612529,-0.026242495,0.021122336,-0.127956569,-0.021360073,0.013489066,-0.042063631,-0.340242803,-0.939396322,0.347175093,-0.044747408,0.163940924,-0.264565067,-0.57229772
1,1,0.001612529,-0.026242495,0.021122336,-0.127956569,-0.021360073,0.013489066,-0.042063631,-0.340242803,-0.939396322,0.347175093,-0.044747408,0.163940924,-0.261368448,-0.57229772
1,1,0.001612529,-0.026242495,0.021122336,-0.127956569,-0.021360073,0.013489066,-0.042063631,-0.340242803,-0.939396322,0.347175093,-0.044747408,0.163940924,-0.256692548,-0.57229772
1,1,0.001612529,-0.026242495,0.021122336,-0.127956569,-0.021360073,0.013489066,-0.042063631,-0.340242803,-0.939396322,0.347175093,-0.044747408,0.163940924,-0.252016648,-0.57229772
1,1,-0.019547261,0.01888597,0.019722044,-0.07513918,0.046004187,0.025199464,-0.044142976,-0.347300619,-0.936714292,0.354690991,-0.047090496,0.165532875,-0.248065617,-0.57229772
1,1,-0.019547261,0.01888597,0.019722044,-0.07513918,0.046004187,0.025199464,-0.044142976,-0.347300619,-0.936714292,0.354690991,-0.047090496,0.165532875,-0.244114586,-0.57229772
1,1,-0.019547261,0.01888597,0.019722044,-0.07513918,0.046004187,0.025199464,-0.044142976,-0.347300619,-0.936714292,0.354690991,-0.047090496,0.165532875,-0.240692411,-0.57229772
1,1,-0.019547261,0.01888597,0.019722044,-0.07513918,0.046004187,0.025199464,-0.044142976,-0.347300619,-0.936714292,0.354690991,-0.047090496,0.165532875,-0.237270236,-0.57229772
1,1,0.006073803,0.004845917,0.009642124,0.031391401,0.013424613,0.016365545,-0.046448618,-0.349526465,-0.935774446,0.357065644,-0.04959585,0.167633695,-0.233552054,-0.57229772
1,1,0.006073803,0.004845917,0.009642124,0.031391401,0.013424613,0.016365545,-0.046448618,-0.349526465,-0.935774446,0.357065644,-0.04959585,0.167633695,-0.229833872,-0.57229772
1,1,0.006073803,0.004845917,0.009642124,0.031391401,0.013424613,0.016365545,-0.046448618,-0.349526465,-0.935774446,0.357065644,-0.04959585,0.167633695,-0.224015131,-0.57229772
1,1,0.006073803,0.004845917,0.009642124,0.031391401,0.013424613,0.016365545,-0.046448618,-0.349526465,-0.935774446,0.357065644,-0.04959585,0.167633695,-0.21819639,-0.57229772
1,1,0.010355707,0.005556613,0.004526973,0.052423544,0.049943268,0.012544815,-0.047343064,-0.3532736,-0.934321344,0.361068042,-0.050627771,0.169040275,-0.212585282,-0.57229772
1,1,0.010355707,0.005556613,0.004526973,0.052423544,0.049943268,0.012544815,-0.047343064,-0.3532736,-0.934321344,0.361068042,-0.050627771,0.169040275,-0.206974173,-0.57229772
1,1,0.010355707,0.005556613,0.004526973,0.052423544,0.049943268,0.012544815,-0.047343064,-0.3532736,-0.934321344,0.361068042,-0.050627771,0.169040275,-0.197471894,-0.57229772
1,1,0.010355707,0.005556613,0.004526973,0.052423544,0.049943268,0.012544815,-0.047343064,-0.3532736,-0.934321344,0.361068042,-0.050627771,0.169040275,-0.187969614,-0.57229772
1,1,0.023574587,-0.00496605,0.007185698,0.037812855,0.001436307,0.000668235,-0.046203401,-0.353737086,-0.934203029,0.361563522,-0.049417291,0.169808726,-0.177887995,-0.57229772
1,1,0.023574587,-0.00496605,0.007185698,0.037812855,0.001436307,0.000668235,-0.046203401,-0.353737086,-0.934203029,0.361563522,-0.049417291,0.169808726,-0.167806376,-0.57229772
1,1,0.023574587,-0.00496605,0.007185698,0.037812855,0.001436307,0.000668235,-0.046203401,-0.353737086,-0.934203029,0.361563522,-0.049417291,0.169808726,-0.15641801,-0.57229772
1,1,0.023574587,-0.00496605,0.007185698,0.037812855,0.001436307,0.000668235,-0.046203401,-0.353737086,-0.934203029,0.361563522,-0.049417291,0.169808726,-0.145029644,-0.57229772
1,1,0.008718107,-0.005414933,0.003508508,0.034109358,0.012707145,-0.009752607,-0.044957761,-0.354661494,-0.933913291,0.362552007,-0.048101983,0.169339312,-0.133522332,-0.57229772
1,1,0.008718107,-0.005414933,0.003508508,0.034109358,0.012707145,-0.009752607,-0.044957761,-0.354661494,-0.933913291,0.362552007,-0.048101983,0.169339312,-0.12201502,-0.471623677
1,1,0.008718107,-0.005414933,0.003508508,0.034109358,0.012707145,-0.009752607,-0.044957761,-0.354661494,-0.933913291,0.362552007,-0.048101983,0.169339312,-0.112521189,-0.471623677
1,1,0.008718107,-0.005414933,0.003508508,0.034109358,0.012707145,-0.009752607,-0.044957761,-0.354661494,-0.933913291,0.362552007,-0.048101983,0.169339312,-0.103027358,-0.471623677
1,1,0.007934541,-0.000705957,0.010282457,0.051650681,0.015652224,-0.013913743,-0.042892437,-0.356761038,-0.933210492,0.364798478,-0.045929908,0.168427854,-0.093491186,-0.471623677
1,1,0.007934541,-0.000705957,0.010282457,0.051650681,0.015652224,-0.013913743,-0.042892437,-0.356761038,-0.933210492,0.364798478,-0.045929908,0.168427854,-0.083955014,-0.376154332
1,1,0.007934541,-0.000705957,0.010282457,0.051650681,0.015652224,-0.013913743,-0.042892437,-0.356761038,-0.933210492,0.364798478,-0.045929908,0.168427854,-0.076328229,-0.376154332
